Tanggal,Bawang Merah,Bawang Putih,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi,Daging Ayam,Telur Ayam,Beras,Minyak Goreng
2023-12-04,29380.0,33760.0,84540.0,90470.0,136080.0,36570.0,27240.0,14340.0,14900.0
2023-12-05,30380.0,34140.0,87980.0,94750.0,137340.0,36430.0,27120.0,14340.0,15030.0
2023-12-06,28460.0,33110.0,88720.0,95730.0,136080.0,36460.0,27110.0,14340.0,14900.0
2023-12-07,30630.0,34550.0,87560.0,71510.0,137340.0,36460.0,26740.0,14280.0,15030.0
2023-12-08,30380.0,34550.0,84580.0,71030.0,136080.0,36460.0,26740.0,14340.0,14660.0
2023-12-09,30630.0,33960.0,85850.0,93590.0,136080.0,36230.0,27050.0,14340.0,15100.0
2023-12-10,31080.0,34670.0,85890.0,96590.0,135460.0,36170.0,26930.0,14340.0,15160.0
2023-12-11,30740.0,34480.0,86850.0,68790.0,134100.0,35120.0,26850.0,14460.0,14920.0
2023-12-12,30880.0,34530.0,79060.0,92960.0,133580.0,36460.0,26860.0,14340.0,15160.0
2023-12-13,30740.0,35100.0,74090.0,90730.0,133140.0,36690.0,26820.0,14460.0,14740.0
2023-12-14,31130.0,34760.0,74590.0,90540.0,133580.0,36730.0,26860.0,14450.0,15160.0
2023-12-15,31130.0,34760.0,71820.0,89800.0,133580.0,36730.0,27050.0,14450.0,15280.0
2023-12-16,31600.0,34220.0,70380.0,87920.0,134820.0,36730.0,26930.0,14390.0,15210.0
2023-12-17,30590.0,33610.0,67720.0,87740.0,133580.0,36730.0,26800.0,14330.0,15150.0
2023-12-18,31400.0,34350.0,65280.0,87670.0,134100.0,36280.0,26920.0,14450.0,14890.0
2023-12-19,30650.0,34090.0,63420.0,83460.0,134100.0,34570.0,26980.0,14450.0,15110.0
2023-12-20,32520.0,34780.0,61480.0,80780.0,133580.0,34840.0,26990.0,14450.0,14900.0
2023-12-21,34020.0,34350.0,61180.0,81880.0,134100.0,34030.0,26840.0,14450.0,14750.0
2023-12-22,34140.0,35010.0,61480.0,81980.0,133580.0,35130.0,26740.0,14450.0,14900.0
2023-12-23,33140.0,34340.0,61780.0,79750.0,134820.0,35340.0,26860.0,14390.0,15080.0
2023-12-24,32250.0,33930.0,64120.0,82400.0,134820.0,35500.0,26740.0,14390.0,14970.0
2023-12-25,32660.0,33990.0,63980.0,84720.0,134820.0,35730.0,26620.0,14390.0,15030.0
2023-12-26,33210.0,33940.0,65220.0,83340.0,136080.0,35150.0,26680.0,14330.0,15150.0
2023-12-27,33850.0,35740.0,62600.0,84930.0,133580.0,33740.0,26740.0,14330.0,15280.0
2023-12-28,32960.0,34660.0,63320.0,81460.0,134100.0,34650.0,26560.0,14410.0,15320.0
2023-12-29,34880.0,35280.0,63430.0,81510.0,134820.0,35080.0,26610.0,14330.0,15150.0
2023-12-30,34060.0,35280.0,62680.0,80690.0,133580.0,35200.0,26740.0,14330.0,15210.0
2023-12-31,34060.0,35280.0,61260.0,80240.0,134820.0,35080.0,26620.0,14330.0,15210.0
2024-01-01,34540.0,34950.0,59620.0,81210.0,134820.0,34740.0,26420.0,14310.0,14810.0
2024-01-02,36250.0,36410.0,66520.0,86310.0,134100.0,35440.0,26560.0,14520.0,15470.0
2024-01-03,35500.0,36990.0,70890.0,83610.0,133580.0,34600.0,26310.0,14450.0,15410.0
2024-01-04,35860.0,36470.0,69260.0,84450.0,132430.0,34610.0,26180.0,14330.0,15410.0
2024-01-05,35100.0,36360.0,69740.0,83450.0,134210.0,34740.0,26000.0,14450.0,15410.0
2024-01-06,34910.0,35790.0,64410.0,75900.0,134210.0,35360.0,26120.0,14390.0,15350.0
2024-01-07,34240.0,36200.0,64580.0,69460.0,135460.0,35590.0,26120.0,14330.0,15290.0
2024-01-08,34970.0,36790.0,65520.0,63120.0,134820.0,33730.0,25990.0,14380.0,15200.0
